run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v1_B_base_openai_20260729T161544573122,v1,v1+p7dd3fdd8e3f8+t9acac52be4fe,base,R01_user_tweets_routing,False,wrong_tool,provider_error,timeline,,False,False,False,RuntimeError: Missing API key env var: OPENAI_API_KEY
v1_B_base_openai_20260729T161544573122,v1,v1+p7dd3fdd8e3f8+t9acac52be4fe,base,R02_search_tweets_routing,False,wrong_tool,provider_error,social_search,,False,False,False,RuntimeError: Missing API key env var: OPENAI_API_KEY
v1_B_base_openai_20260729T161544573122,v1,v1+p7dd3fdd8e3f8+t9acac52be4fe,base,R03_web_news_routing,False,wrong_tool,provider_error,lookup,,False,False,False,RuntimeError: Missing API key env var: OPENAI_API_KEY
v1_B_base_openai_20260729T161544573122,v1,v1+p7dd3fdd8e3f8+t9acac52be4fe,base,R04_read_url_routing,False,wrong_tool,provider_error,fetch,,False,False,False,RuntimeError: Missing API key env var: OPENAI_API_KEY
v1_B_base_openai_20260729T161544573122,v1,v1+p7dd3fdd8e3f8+t9acac52be4fe,base,R05_limit_arg,False,wrong_arg_value,provider_error,timeline,,False,False,False,RuntimeError: Missing API key env var: OPENAI_API_KEY
v1_B_base_openai_20260729T161544573122,v1,v1+p7dd3fdd8e3f8+t9acac52be4fe,base,R06_timeframe_arg,False,wrong_arg_value,provider_error,lookup,,False,False,False,RuntimeError: Missing API key env var: OPENAI_API_KEY
v1_B_base_openai_20260729T161544573122,v1,v1+p7dd3fdd8e3f8+t9acac52be4fe,base,R07_search_type_arg,False,wrong_arg_value,provider_error,social_search,,False,False,False,RuntimeError: Missing API key env var: OPENAI_API_KEY
v1_B_base_openai_20260729T161544573122,v1,v1+p7dd3fdd8e3f8+t9acac52be4fe,base,R08_out_of_scope,False,out_of_scope,provider_error,no_tool,,False,False,False,RuntimeError: Missing API key env var: OPENAI_API_KEY
v1_B_base_openai_20260729T161544573122,v1,v1+p7dd3fdd8e3f8+t9acac52be4fe,base,R09_no_tool_capability,False,unnecessary_tool,provider_error,no_tool,,False,False,False,RuntimeError: Missing API key env var: OPENAI_API_KEY
v1_B_base_openai_20260729T161544573122,v1,v1+p7dd3fdd8e3f8+t9acac52be4fe,base,R10_missing_handle,False,missing_info,provider_error,clarify,,False,False,False,RuntimeError: Missing API key env var: OPENAI_API_KEY
v1_B_base_openai_20260729T161544573122,v1,v1+p7dd3fdd8e3f8+t9acac52be4fe,base,R11_missing_url,False,missing_info,provider_error,clarify,,False,False,False,RuntimeError: Missing API key env var: OPENAI_API_KEY
v1_B_base_openai_20260729T161544573122,v1,v1+p7dd3fdd8e3f8+t9acac52be4fe,base,R12_confirm_before_send,False,wrong_boundary,provider_error,clarify,,False,False,False,RuntimeError: Missing API key env var: OPENAI_API_KEY
v1_B_base_openai_20260729T161544573122,v1,v1+p7dd3fdd8e3f8+t9acac52be4fe,base,R13_parallel_web_and_tweets,False,wrong_tool,provider_error,lookup|social_search,,False,False,False,RuntimeError: Missing API key env var: OPENAI_API_KEY
v1_B_base_openai_20260729T161544573122,v1,v1+p7dd3fdd8e3f8+t9acac52be4fe,base,R14_out_of_scope_coding,False,out_of_scope,provider_error,no_tool,,False,False,False,RuntimeError: Missing API key env var: OPENAI_API_KEY
v1_B_base_openai_20260729T161544573122,v1,v1+p7dd3fdd8e3f8+t9acac52be4fe,base,M01_clarify_then_fill,True,missing_info,provider_error,timeline,,False,False,False,RuntimeError: Missing API key env var: OPENAI_API_KEY
v1_B_base_openai_20260729T161544573122,v1,v1+p7dd3fdd8e3f8+t9acac52be4fe,base,M02_carryover_timeframe,True,wrong_arg_value,provider_error,lookup,,False,False,False,RuntimeError: Missing API key env var: OPENAI_API_KEY
v1_B_base_openai_20260729T161544573122,v1,v1+p7dd3fdd8e3f8+t9acac52be4fe,base,M03_correction_handle,True,wrong_arg_value,provider_error,timeline,,False,False,False,RuntimeError: Missing API key env var: OPENAI_API_KEY
v1_B_base_openai_20260729T161544573122,v1,v1+p7dd3fdd8e3f8+t9acac52be4fe,base,M04_clarify_then_url,True,missing_info,provider_error,fetch,,False,False,False,RuntimeError: Missing API key env var: OPENAI_API_KEY
v1_B_base_openai_20260729T161544573122,v1,v1+p7dd3fdd8e3f8+t9acac52be4fe,base,M05_correction_limit,True,wrong_arg_value,provider_error,timeline,,False,False,False,RuntimeError: Missing API key env var: OPENAI_API_KEY
